car_title,car_price_highlighted,car_km,car_hand,car_fuel,car_engine,car_hp,car_transmission,car_drive,car_color,car_body
"Skoda Kodiaq, 2020",₪ 163 000,90 000 km,2nd hand,Gasoline,2.0 l,190 hp,Robotic,4x4,Grey,SUV 5-doors
"Opel Adam, 2015",₪ 28 500,91 000 km,3rd hand,Gasoline,1.4 l,85 hp,Automatic,FWD,Red,Mini 3-doors
"Chevrolet Spark, 2016",₪ 39 000,94 000 km,2nd hand,Gasoline,1.4 l,98 hp,Variable,FWD,White,Mini 5-doors
"Mazda CX-5, 2019",₪ 120 000,94 000 km,3rd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Blue,SUV 5-doors
"Ford Kuga, 2017",₪ 68 000,87 000 km,2nd hand,Gasoline,1.5 l,182 hp,Automatic,4x4,Black,SUV 5-doors
"SEAT Ateca, 2017",₪ 75 000,88 000 km,2nd hand,Gasoline,1.4 l,150 hp,Robotic,FWD,White,SUV 5-doors
"MG ZS, 2020",₪ 99 000,87 000 km,1st hand,Electro,,143 hp,Automatic,FWD,Light blue,SUV 5-doors
"Renault Clio, 2011",₪ 14 500,87 300 km,2nd hand,Gasoline,1.6 l,110 hp,Automatic,FWD,Blue,Mini 5-doors
"Audi S5, 2019",₪ 270 000,90 000 km,3rd hand,Gasoline,3.0 l,354 hp,Automatic,4x4,White,Coupe
"Citroen Jumpy, 2020",₪ 130 000,89 500 km,2nd hand,Diesel,2.0 l,150 hp,Manual,FWD,White,Van Long
"Mitsubishi Eclipse Cross, 2018",₪ 90 000,87 000 km,1st hand,Gasoline,1.5 l,163 hp,Variable,FWD,Black,SUV 5-doors
"BMW 3 series, 2020",₪ 210 000,92 000 km,2nd hand,Plug-in Hybrid,2.0 l,292 hp,Automatic,RWD,Bronze,Sedan
"Mazda 6, 2008",₪ 20 000,222 000 km,3rd hand,Gasoline,2.0 l,147 hp,Automatic,FWD,White,Sedan
"Suzuki SX4, 2008",₪ 15 000,170 000 km,2nd hand,Gasoline,1.6 l,107 hp,Automatic,FWD,Silver,Sedan
"Nissan X-Trail, 2020",₪ 110 000,90 000 km,1st hand,Diesel,1.7 l,150 hp,Automatic,FWD,Silver,SUV 5-doors
"Kia Picanto, 2018",₪ 52 000,93 000 km,2nd hand,Gasoline,1.2 l,84 hp,Automatic,FWD,Silver,Mini 5-doors
"Skoda Rapid, 2017",₪ 42 000,92 000 km,3rd hand,Gasoline,1.2 l,90 hp,Robotic,FWD,White,Liftback
"Peugeot 3008, 2019",₪ 84 000,92 000 km,1st hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Grey,SUV 5-doors
"Ford Kuga, 2018",₪ 70 000,92 000 km,2nd hand,Gasoline,1.5 l,182 hp,Automatic,FWD,White,SUV 5-doors
"Peugeot 3008, 2017",₪ 83 999,93 000 km,2nd hand,Gasoline,1.6 l,165 hp,Automatic,FWD,Blue,SUV 5-doors
"Skoda Superb, 2018",₪ 128 000,87 000 km,4th hand,Gasoline,2.0 l,220 hp,Robotic,FWD,Bronze,Liftback
"Skoda Kodiaq, 2017",₪ 107 000,97 000 km,2nd hand,Gasoline,1.4 l,150 hp,Robotic,4x4,Black,SUV 5-doors
"Mitsubishi Outlander, 2017",₪ 105 000,95 000 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Mercedes C-Class, 2017",₪ 202 000,95 000 km,2nd hand,Gasoline,2.0 l,184 hp,Automatic,RWD,Black,Cabrio
"Volkswagen Golf GTI, 2016",₪ 108 000,100 000 km,3rd hand,Gasoline,2.0 l,220 hp,Robotic,FWD,White,Hatchback 5-door
"Volvo S60, 2012",₪ 35 000,92 000 km,2nd hand,Gasoline,1.6 l,180 hp,Robotic,FWD,White,Sedan
"Chevrolet Traverse, 2017",₪ 105 000,94 000 km,3rd hand,Gasoline,3.6 l,281 hp,Automatic,4x4,Blue,SUV 5-doors
"Peugeot 2008, 2021",₪ 67 000,97 000 km,3rd hand,Gasoline,1.2 l,130 hp,Automatic,FWD,Black,SUV 5-doors
"Skoda Kodiaq, 2018",₪ 125 000,100 000 km,2nd hand,Gasoline,2.0 l,180 hp,Robotic,4x4,White,SUV 5-doors
"Hyundai Tucson, 2018",₪ 88 000,96 000 km,1st hand,Gasoline,2.0 l,155 hp,Robotic,FWD,Black,SUV 5-doors
"Hyundai Tucson, 2020",₪ 96 000,98 000 km,2nd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Black,SUV 5-doors
"Nissan Juke, 2011",₪ 20 000,95 000 km,3rd hand,Gasoline,1.6 l,117 hp,Variable,FWD,Black,SUV 5-doors
"Mitsubishi Outlander, 2014",₪ 52 000,228 000 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,FWD,Silver,SUV 5-doors
"Ford Mondeo, 2010",₪ 10 000,250 000 km,1st hand,Gasoline,2.3 l,161 hp,Automatic,FWD,Silver,Sedan
"Alfa Romeo Giulietta, 2019",₪ 99 000,103 000 km,1st hand,Gasoline,1.7 l,240 hp,Robotic,FWD,Red,Hatchback 5-door
"Chevrolet Captiva, 2011",₪ 25 000,187 000 km,4th hand,Diesel,2.2 l,184 hp,Automatic,4x4,Black,SUV 5-doors
"Mazda 3, 2019",₪ 60 000,150 000 km,2nd hand,Gasoline,1.5 l,120 hp,Automatic,FWD,Silver,Sedan
"Kia Niro, 2018",₪ 84 500,116 500 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,White,SUV 5-doors
"Nissan X-Trail, 2020",₪ 105 000,106 000 km,1st hand,Diesel,1.7 l,150 hp,Automatic,FWD,White,SUV 5-doors
"Mitsubishi Lancer, 2010",₪ 10 000,242 000 km,2nd hand,Gasoline,1.5 l,109 hp,Automatic,FWD,Silver,Sedan
"Volkswagen Jetta, 2011",₪ 12 000,236 000 km,3rd hand,Gasoline,1.6 l,105 hp,Automatic,FWD,White,Sedan
"Hyundai i25, 2012",₪ 27 000,190 000 km,2nd hand,Gasoline,1.4 l,109 hp,Automatic,FWD,Silver,Sedan
"Mazda CX-5, 2014",₪ 65 000,160 000 km,3rd hand,Gasoline,2.5 l,188 hp,Automatic,4x4,White,SUV 5-doors
"Fiat Doblo, 2018",₪ 33 000,150 000 km,2nd hand,Diesel,1.3 l,95 hp,Manual,FWD,White,Van
"Citroen C4 Picasso, 2018",₪ 53 000,107 500 km,2nd hand,Gasoline,1.6 l,165 hp,Automatic,FWD,White,Compact Van
"Mitsubishi Outlander, 2018",₪ 90 000,70 000 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Peugeot 3008, 2019",₪ 95 000,77 000 km,1st hand,Gasoline,1.6 l,180 hp,Automatic,FWD,Grey,SUV 5-doors
"Skywell ET5, 2022",₪ 170 000,10 000 km,1st hand,Electro,,204 hp,Automatic,FWD,Blue,SUV 5-doors
"Hyundai i30, 2020",₪ 87 000,51 000 km,2nd hand,Gasoline,1.4 l,140 hp,Robotic,FWD,Black,Hatchback 5-door
"Hyundai Kona, 2021",₪ 85 000,65 000 km,1st hand,Gasoline,1.6 l,198 hp,Robotic,FWD,Grey,SUV 5-doors
"Hyundai IONIQ, 2019",₪ 99 000,62 000 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Silver,Hatchback 5-door
"Kia Ceed, 2018",₪ 22 500,300 000 km,2nd hand,Diesel,1.6 l,136 hp,Robotic,FWD,White,Estate 5-door
"Nissan X-Trail, 2020",₪ 125 000,47 500 km,1st hand,Gasoline,1.3 l,160 hp,Robotic,FWD,White,SUV 5-doors
"Kia Rio, 2008",₪ 9 000,122 000 km,3rd hand,Gasoline,1.4 l,97 hp,Automatic,FWD,Red,Mini 5-doors
"Ford Focus, 2012",₪ 11 000,223 000 km,2nd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Grey,Estate 5-door
"Volkswagen Bora, 2002",₪ 5 500,260 560 km,4th hand,Gasoline,1.6 l,102 hp,Automatic,FWD,Silver,Sedan
"Peugeot 308, 2015",₪ 18 500,138 000 km,2nd hand,Gasoline,1.2 l,130 hp,Automatic,FWD,White,Estate 5-door
"Hyundai Tucson, 2022",₪ 165 000,7 700 km,1st hand,Gasoline,1.6 l,180 hp,Robotic,FWD,Silver,SUV 5-doors
"Skoda Superb, 2011",₪ 26 000,200 000 km,3rd hand,Gasoline,1.8 l,160 hp,Robotic,FWD,Light Grey,Liftback
"Hyundai Tucson, 2017",₪ 92 000,57 000 km,1st hand,Gasoline,2.0 l,155 hp,Robotic,FWD,White,SUV 5-doors
"Renault Megane, 2018",₪ 49 990,199 500 km,3rd hand,Diesel,1.5 l,116 hp,Robotic,FWD,Black,Sedan
"Suzuki Alto, 2012",₪ 15 000,135 000 km,2nd hand,Gasoline,1.0 l,68 hp,Manual,FWD,Grey,Mini 5-doors
"Honda CR-V, 2018",₪ 79 000,90 000 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,4x4,Black,SUV 5-doors
"Nissan Sentra, 2017",₪ 42 000,129 000 km,2nd hand,Gasoline,1.8 l,130 hp,Variable,FWD,Grey,Sedan
"Mazda 3, 2020",₪ 101 000,29 000 km,2nd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,Silver,Sedan
"SEAT Toledo, 2008",₪ 3 000,250 000 km,3rd hand,Gasoline,2.0 l,150 hp,Automatic,FWD,Black,Hatchback 5-door
"Hyundai Sonata, 2022",₪ 115 000,120 000 km,2nd hand,Hybrid,2.0 l,192 hp,Automatic,FWD,White,Sedan
"Hyundai i25, 2015",₪ 32 000,162 000 km,2nd hand,Gasoline,1.6 l,124 hp,Automatic,FWD,White,Sedan
"SEAT Leon, 2014",₪ 59 000,141 000 km,4th hand,Gasoline,1.8 l,180 hp,Robotic,FWD,Black,Hatchback 3-door
"Hyundai IONIQ, 2020",₪ 100 000,94 000 km,1st hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Grey,Hatchback 5-door
"Peugeot 308, 2011",₪ 11 800,133 000 km,1st hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Light Grey,Hatchback 5-door
"Mitsubishi ASX, 2022",₪ 130 000,5 000 km,2nd hand,Gasoline,2.0 l,150 hp,Variable,FWD,Silver,SUV 5-doors
"Audi A3, 2013",₪ 49 500,105 000 km,3rd hand,Gasoline,1.4 l,122 hp,Robotic,FWD,White,Hatchback 3-door
"Kia Stonic, 2023",₪ 118 000,1 000 km,1st hand,Gasoline,1.4 l,100 hp,Automatic,FWD,Silver,SUV 5-doors
"Renault Megane, 2004",₪ 21 000,240 000 km,4th hand,Gasoline,1.6 l,115 hp,Manual,FWD,Black,Hatchback 3-door
"Hyundai Santa Fe, 2008",₪ 47 000,122 000 km,1st hand,Gasoline,2.7 l,189 hp,Automatic,4x4,Silver,SUV 5-doors
"Skoda Rapid, 2014",₪ 28 000,193 000 km,2nd hand,Gasoline,1.4 l,122 hp,Robotic,FWD,Silver,Liftback
"Volkswagen Passat, 2015",₪ 74 000,93 000 km,2nd hand,Gasoline,1.8 l,180 hp,Robotic,FWD,Grey,Sedan
"Nissan Note, 2010",₪ 20 000,230 000 km,4th hand,Gasoline,1.6 l,110 hp,Automatic,FWD,White,Hatchback 5-door
"Jeep Grand Cherokee, 2021",₪ 228 000,35 000 km,2nd hand,Gasoline,3.6 l,286 hp,Automatic,4x4,White,SUV 5-doors
"Mazda 5, 2008",₪ 17 000,140 400 km,3rd hand,Gasoline,2.0 l,145 hp,Automatic,FWD,White,Compact Van
"Mercedes C-Class, 2012",₪ 42 000,190 000 km,3rd hand,Gasoline,1.8 l,156 hp,Automatic,RWD,Black,Sedan
"Hyundai Tucson, 2019",₪ 105 000,56 000 km,1st hand,Gasoline,2.0 l,155 hp,Automatic,FWD,White,SUV 5-doors
"Peugeot 3008, 2021",₪ 205 000,40 000 km,2nd hand,Plug-in Hybrid,1.6 l,300 hp,Automatic,4x4,Black,SUV 5-doors
"Chevrolet Malibu, 2008",₪ 11 000,180 000 km,2nd hand,Gasoline,3.5 l,217 hp,Automatic,FWD,Black,Sedan
"Volkswagen Passat, 2009",₪ 14 000,226 739 km,3rd hand,Gasoline,1.8 l,160 hp,Automatic,FWD,Light blue,Sedan
"Hyundai Tucson, 2017",₪ 61 000,139 950 km,2nd hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Silver,SUV 5-doors
"Hyundai i10, 2011",₪ 11 000,150 000 km,4th hand,Gasoline,1.1 l,69 hp,Manual,FWD,Grey,Mini 5-doors
"Chevrolet Cruze, 2010",₪ 9 990,170 000 km,4th hand,Gasoline,1.6 l,113 hp,Automatic,FWD,Silver,Sedan
"Mazda 5, 2008",₪ 16 700,201 400 km,4th hand,Gasoline,2.0 l,145 hp,Automatic,FWD,Grey,Compact Van
"Subaru Impreza, 2008",₪ 11 000,157 000 km,4th hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Blue,Sedan
"Citroen Berlingo, 2016",₪ 42 000,240 000 km,2nd hand,Diesel,1.6 l,90 hp,Manual,FWD,White,Van
"Chevrolet Cruze, 2010",₪ 11 000,235 423 km,3rd hand,Gasoline,1.6 l,113 hp,Automatic,FWD,Silver,Sedan
"Mazda 5, 2009",₪ 19 000,167 000 km,3rd hand,Gasoline,2.0 l,145 hp,Automatic,FWD,Silver,Compact Van
"Toyota C-HR, 2020",₪ 128 000,33 279 km,1st hand,Hybrid,1.8 l,122 hp,Automatic,FWD,Orange,SUV 5-doors
"Ford Focus, 2012",₪ 8 000,195 500 km,3rd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Grey,Estate 5-door
"Suzuki Splash, 2015",₪ 25 000,133 000 km,2nd hand,Gasoline,1.2 l,94 hp,Automatic,FWD,White,Hatchback 5-door
"Hyundai Kona, 2018",₪ 80 000,65 000 km,2nd hand,Gasoline,1.6 l,177 hp,Robotic,4x4,Grey,SUV 5-doors
"Citroen Berlingo, 2018",₪ 36 000,157 000 km,1st hand,Diesel,1.6 l,75 hp,Manual,FWD,White,Compact Van
"Volvo S80, 2011",₪ 20 000,211 000 km,3rd hand,Gasoline,2.0 l,203 hp,Automatic,FWD,Blue,Sedan
"Volvo S40, 2011",₪ 19 000,139 000 km,1st hand,Gasoline,2.0 l,145 hp,Robotic,FWD,Black,Sedan
"Suzuki Swift, 2021",₪ 79 000,24 000 km,1st hand,Gasoline,1.2 l,90 hp,Automatic,FWD,White,Mini 5-doors
"Hyundai Tucson, 2016",₪ 83 000,125 000 km,1st hand,Gasoline,2.0 l,155 hp,Robotic,FWD,Black,SUV 5-doors
"Mitsubishi Lancer, 2009",₪ 10 500,176 000 km,3rd hand,Gasoline,1.6 l,98 hp,Automatic,FWD,White,Sedan
"Subaru Impreza, 2008",₪ 14 900,167 000 km,2nd hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Light Grey,Hatchback 5-door
"Subaru Impreza, 2009",₪ 12 000,75 000 km,2nd hand,Gasoline,1.5 l,107 hp,Automatic,FWD,Grey,Sedan
"Kia Ceed, 2017",₪ 35 000,131 000 km,3rd hand,Gasoline,1.6 l,135 hp,Robotic,FWD,White,Estate 5-door
"Ford Focus, 2012",₪ 13 000,220 000 km,3rd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Silver,Sedan
"Skoda Kodiaq, 2019",₪ 139 999,59 000 km,1st hand,Gasoline,1.5 l,150 hp,Robotic,FWD,White,SUV 5-doors
"Toyota Corolla, 2020",₪ 113 000,40 500 km,2nd hand,Hybrid,1.8 l,121 hp,Variable,FWD,Blue,Sedan
"Kia Sportage, 2014",₪ 50 000,192 889 km,2nd hand,Gasoline,2.0 l,163 hp,Automatic,FWD,White,SUV 5-doors
"Hyundai i30, 2014",₪ 34 000,162 000 km,4th hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Blue,Hatchback 5-door
"Subaru XV, 2017",₪ 60 000,121 000 km,1st hand,Gasoline,1.6 l,114 hp,Variable,4x4,Black,SUV 5-doors
"Suzuki SX4, 2012",₪ 30 000,120 000 km,2nd hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Silver,Sedan
"Mazda CX-5, 2014",₪ 60 000,197 000 km,3rd hand,Gasoline,2.0 l,155 hp,Automatic,FWD,Silver,SUV 5-doors
"SEAT Leon, 2015",₪ 52 000,94 000 km,1st hand,Gasoline,1.2 l,105 hp,Robotic,FWD,White,Hatchback 5-door
"Nissan Qashqai, 2012",₪ 37 000,212 000 km,3rd hand,Gasoline,2.0 l,140 hp,Variable,FWD,Silver,SUV 5-doors
"Mazda 6, 2009",₪ 20 000,180 000 km,2nd hand,Gasoline,2.0 l,147 hp,Automatic,FWD,Silver,Sedan
"Suzuki SX4, 2010",₪ 29 800,134 500 km,2nd hand,Gasoline,1.6 l,120 hp,Automatic,FWD,White,Hatchback 5-door
"Mazda 3, 2016",₪ 57 000,98 000 km,2nd hand,Gasoline,2.0 l,165 hp,Automatic,FWD,White,Hatchback 5-door
"Chrysler Town & Country, 2007",₪ 12 000,265 000 km,2nd hand,Gasoline,3.3 l,182 hp,Automatic,FWD,Silver,Minivan
"Daihatsu Sirion, 2008",₪ 10 900,235 000 km,3rd hand,Gasoline,1.3 l,87 hp,Automatic,FWD,Silver,Mini 5-doors
"Audi Q3, 2017",₪ 125 000,54 000 km,2nd hand,Gasoline,2.0 l,180 hp,Robotic,4x4,White,SUV 5-doors
"Mercedes C-Class, 2003",₪ 12 000,250 000 km,4th hand,Gasoline,1.8 l,163 hp,Automatic,RWD,Black,Sedan
"Kia Sportage, 2017",₪ 68 000,122 000 km,1st hand,Gasoline,1.6 l,132 hp,Automatic,FWD,Black,SUV 5-doors
"Hyundai i20 Cross, 2016",₪ 55 000,68 500 km,1st hand,Gasoline,1.4 l,100 hp,Automatic,FWD,Grey,SUV 5-doors
"MG EHS, 2022",₪ 145 000,12 500 km,1st hand,Plug-in Hybrid,1.5 l,258 hp,Automatic,FWD,White,SUV 5-doors
"Mitsubishi Outlander, 2018",₪ 98 000,130 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Toyota Corolla, 2014",₪ 49 000,155 000 km,2nd hand,Gasoline,1.6 l,132 hp,Manual,FWD,White,Sedan
"Mazda Demio, 2001",₪ 4 700,166 000 km,3rd hand,Gasoline,1.5 l,75 hp,Automatic,FWD,Light blue,Mini 5-doors
"Hyundai ix35, 2010",₪ 28 500,219 600 km,4th hand,Gasoline,2.0 l,163 hp,Automatic,FWD,Brown,SUV 5-doors
"Volkswagen Jetta, 2009",₪ 8 000,370 612 km,2nd hand,Gasoline,1.6 l,102 hp,Robotic,FWD,Black,Sedan
"Mitsubishi Grandis, 2010",₪ 23 000,275 000 km,3rd hand,Gasoline,2.4 l,165 hp,Automatic,FWD,White,Minivan
"Skoda Rapid, 2018",₪ 42 000,137 000 km,2nd hand,Gasoline,1.0 l,95 hp,Robotic,FWD,White,Liftback
"BMW X1, 2021",₪ 160 000,27 000 km,2nd hand,Gasoline,1.5 l,136 hp,Robotic,FWD,White,SUV 5-doors
"BMW X2, 2022",₪ 191 000,21 000 km,2nd hand,Gasoline,1.5 l,136 hp,Robotic,FWD,White,SUV 5-doors
"Mazda 3, 2005",₪ 7 000,159 000 km,2nd hand,Gasoline,1.6 l,105 hp,Automatic,FWD,Grey,Sedan
"Hyundai IONIQ, 2017",₪ 66 000,150 000 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Silver,Hatchback 5-door
"Honda Jazz, 2013",₪ 31 000,209 000 km,1st hand,Hybrid,1.3 l,88 hp,Variable,FWD,White,Mini 5-doors
"Subaru Forester, 2017",₪ 82 000,143 000 km,3rd hand,Gasoline,2.0 l,150 hp,Variable,4x4,Silver,SUV 5-doors
"Audi A6, 2017",₪ 125 000,150 000 km,3rd hand,Gasoline,1.8 l,190 hp,Robotic,FWD,White,Sedan
"IVECO Daily, 2012",₪ 9 500,400 000 km,3rd hand,Diesel,3.0 l,146 hp,Manual,RWD,White,Van Long
"Hyundai Elantra, 2017",₪ 57 000,114 000 km,3rd hand,Gasoline,1.6 l,128 hp,Automatic,FWD,Grey,Sedan
"Skoda Kodiaq, 2019",₪ 127 000,87 000 km,2nd hand,Diesel,2.0 l,150 hp,Robotic,FWD,Silver,SUV 5-doors
"Hyundai Getz, 2007",₪ 7 000,225 000 km,4th hand,Gasoline,1.4 l,97 hp,Automatic,FWD,White,Mini 5-doors
"Hyundai Tucson, 2022",₪ 242 000,10 000 km,1st hand,Plug-in Hybrid,1.6 l,265 hp,Automatic,4x4,Black,SUV 5-doors
"BMW 1 series, 2023",₪ 205 000,22 800 km,1st hand,Gasoline,1.5 l,136 hp,Robotic,FWD,White,Hatchback 5-door
"Mitsubishi Outlander, 2018",₪ 85 000,225 300 km,2nd hand,Plug-in Hybrid,2.0 l,121 hp,Automatic,4x4,Silver,SUV 5-doors
"Kia Rio, 2014",₪ 22 000,154 000 km,1st hand,Gasoline,1.2 l,82 hp,Manual,FWD,Black,Hatchback 5-door
"Audi A1, 2013",₪ 32 000,140 000 km,3rd hand,Gasoline,1.4 l,140 hp,Robotic,FWD,Black,Mini 5-doors
"Skoda Superb, 2013",₪ 21 000,222 000 km,4th hand,Gasoline,1.8 l,152 hp,Automatic,FWD,Silver,Liftback
"Skoda Karoq, 2019",₪ 100 000,58 000 km,2nd hand,Gasoline,1.5 l,150 hp,Robotic,FWD,White,SUV 5-doors
"Ford Galaxy, 2010",₪ 19 500,187 000 km,2nd hand,Gasoline,2.3 l,161 hp,Automatic,FWD,Silver,Minivan
"Toyota Corolla, 2022",₪ 120 000,24 000 km,1st hand,Hybrid,1.8 l,98 hp,Variable,FWD,Silver,Sedan
"Mazda 323F, 1992",₪ 25 000,150 000 km,4th hand,Gasoline,1.6 l,84 hp,Automatic,FWD,Red,Liftback
"Hyundai i20, 2013",₪ 22 000,211 000 km,2nd hand,Gasoline,1.4 l,100 hp,Automatic,FWD,White,Mini 5-doors
"Jaguar XE, 2016",₪ 66 000,125 000 km,4th hand,Gasoline,2.0 l,200 hp,Automatic,RWD,Blue,Sedan
"Volkswagen Jetta, 2018",₪ 45 000,128 000 km,2nd hand,Gasoline,1.2 l,105 hp,Robotic,FWD,White,Sedan
"Nissan Micra, 2016",₪ 30 000,150 000 km,1st hand,Gasoline,1.2 l,80 hp,Manual,FWD,White,Mini 5-doors
"Hyundai i30, 2013",₪ 20 000,222 000 km,2nd hand,Gasoline,1.6 l,135 hp,Automatic,FWD,Silver,Estate 5-door
"Mitsubishi Outlander, 2017",₪ 95 000,135 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,Silver,SUV 5-doors
"Toyota Avensis, 2008",₪ 14 500,219 000 km,1st hand,Gasoline,2.0 l,147 hp,Automatic,FWD,Grey,Sedan
"Mitsubishi Outlander, 2022",₪ 170 000,23 700 km,1st hand,Gasoline,2.5 l,181 hp,Variable,FWD,Grey,SUV 5-doors
"Toyota RAV4, 2018",₪ 115 000,103 200 km,3rd hand,Hybrid,2.5 l,200 hp,Variable,FWD,Black,SUV 5-doors
"Ford Focus, 2012",₪ 14 900,196 000 km,3rd hand,Gasoline,2.0 l,170 hp,Robotic,FWD,Grey,Hatchback 5-door
"Buick Rendezvous, 2005",₪ 17 000,190 000 km,2nd hand,Gasoline,3.4 l,187 hp,Automatic,4x4,Brown,SUV 5-doors
"Ford Focus, 2012",₪ 15 000,180 000 km,2nd hand,Gasoline,1.6 l,125 hp,Robotic,FWD,Silver,Estate 5-door
"BMW 3 series, 2021",₪ 194 000,45 000 km,1st hand,Gasoline,2.0 l,156 hp,Automatic,RWD,White,Sedan
"Jaguar XE, 2016",₪ 75 000,73 000 km,2nd hand,Gasoline,2.0 l,200 hp,Automatic,RWD,Grey,Sedan
"BMW 1 series, 2008",₪ 25 000,210 500 km,4th hand,Gasoline,2.0 l,156 hp,Automatic,RWD,Grey,Hatchback 3-door
"Hyundai IONIQ, 2017",₪ 72 000,166 000 km,3rd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Grey,Hatchback 5-door
"MG 350, 2013",₪ 16 000,175 000 km,2nd hand,Gasoline,1.5 l,106 hp,Automatic,FWD,White,Sedan
"Land Rover Defender, 2021",₪ 451 000,80 000 km,1st hand,Diesel,3.0 l,249 hp,Automatic,4x4,Black,SUV 5-doors
"Hyundai i25, 2011",₪ 29 000,174 000 km,4th hand,Gasoline,1.6 l,124 hp,Automatic,FWD,Bronze,Sedan
"Hyundai i10, 2015",₪ 24 000,160 000 km,3rd hand,Gasoline,1.0 l,67 hp,Manual,FWD,Grey,Mini 5-doors
"Peugeot 407, 2005",₪ 2 500,195 000 km,3rd hand,Gasoline,2.2 l,160 hp,Automatic,FWD,Grey,Estate 5-door
"Mercedes S-Class, 2010",₪ 73 000,272 000 km,4th hand,Gasoline,3.5 l,272 hp,Automatic,RWD,Black,Sedan Long
"Peugeot 3008, 2022",₪ 135 000,39 000 km,1st hand,Gasoline,1.2 l,130 hp,Automatic,FWD,White,SUV 5-doors
"Daihatsu Terios, 2008",₪ 26 000,219 000 km,4th hand,Gasoline,1.5 l,105 hp,Automatic,4x4,Grey,SUV 5-doors
"Volkswagen Golf, 2016",₪ 68 000,140 000 km,3rd hand,Gasoline,1.4 l,150 hp,Robotic,FWD,White,Hatchback 5-door
"Mazda 5, 2008",₪ 18 000,191 000 km,4th hand,Gasoline,2.0 l,145 hp,Automatic,FWD,Silver,Compact Van
"Hyundai i30, 2016",₪ 37 000,153 000 km,4th hand,Gasoline,1.6 l,135 hp,Automatic,FWD,White,Hatchback 5-door
"Hyundai i10, 2020",₪ 62 000,24 000 km,1st hand,Gasoline,1.2 l,84 hp,Robotic,FWD,Red,Mini 5-doors
"Renault Master, 2008",₪ 22 500,394 000 km,4th hand,Diesel,2.5 l,100 hp,Manual,FWD,White,Van Long
"Kia Carnival, 2011",₪ 35 000,160 000 km,3rd hand,Diesel,2.9 l,185 hp,Automatic,FWD,Black,Minivan
"Renault Scenic, 2011",₪ 19 000,114 000 km,2nd hand,Gasoline,2.0 l,143 hp,Variable,FWD,Beige,Compact Van
"Skoda Octavia, 2017",₪ 57 000,155 000 km,2nd hand,Gasoline,1.4 l,150 hp,Robotic,FWD,Silver,Liftback
"Hyundai IONIQ, 2020",₪ 115 000,54 000 km,2nd hand,Hybrid,1.6 l,141 hp,Robotic,FWD,Blue,Hatchback 5-door
"Mitsubishi Outlander, 2015",₪ 56 000,220 000 km,1st hand,Gasoline,2.0 l,150 hp,Variable,FWD,White,SUV 5-doors
"Ford Focus, 2012",₪ 13 000,370 000 km,3rd hand,Gasoline,2.0 l,170 hp,Robotic,FWD,White,Estate 5-door
"Peugeot 207, 2012",₪ 14 999,123 000 km,2nd hand,Gasoline,1.6 l,120 hp,Automatic,FWD,Grey,Hatchback 5-door
"Ford Mondeo, 2010",₪ 9 800,230 000 km,4th hand,Gasoline,2.3 l,161 hp,Automatic,FWD,White,Sedan
"Audi Q5, 2011",₪ 61 000,202 000 km,4th hand,Gasoline,2.0 l,211 hp,Automatic,4x4,Grey,SUV 5-doors
"Infiniti Q70, 2015",₪ 67 000,145 000 km,3rd hand,Gasoline,3.7 l,320 hp,Automatic,RWD,Black,Sedan
"Ford Econoline, 2004",₪ 35 000,200 000 km,2nd hand,Diesel,7.3 l,215 hp,Automatic,RWD,Silver,Minivan
"BMW 7 series, 2019",₪ 310 000,77 000 km,2nd hand,Plug-in Hybrid,2.0 l,326 hp,Automatic,RWD,White,Sedan Long
"Skoda Superb, 2012",₪ 35 000,155 000 km,4th hand,Gasoline,1.8 l,160 hp,Robotic,FWD,Bronze,Liftback
"Fiat 500, 2009",₪ 12 000,103 000 km,4th hand,Gasoline,1.2 l,69 hp,Manual,FWD,White,Mini 3-doors
